Gene.symbol	coef	Assay	ensembl_gene_id	gene_id	hgnc_symbol
S1PR2	-78.74486	COO	ENSG00000267534	ENSG00000267534.4	S1PR2
MYBL1	-72.92141	COO	ENSG00000185697	ENSG00000185697.16	MYBL1
ITPKB	-67.77938	COO	ENSG00000143772	ENSG00000143772.9	ITPKB
ASB13	-66.34738	COO	ENSG00000196372	ENSG00000196372.13	ASB13
SERPINA9	-61.80787	COO	ENSG00000170054	ENSG00000170054.14	SERPINA9
MAML3	-58.58863	COO	ENSG00000196782	ENSG00000196782.12	MAML3
MME	-56.5531	COO	ENSG00000196549	ENSG00000196549.10	MME
CCDC50	40.54058	COO	ENSG00000152492	ENSG00000152492.15	CCDC50
LIMD1	61.91894	COO	ENSG00000144791	ENSG00000144791.10	LIMD1
CREB3L2	65.78537	COO	ENSG00000182158	ENSG00000182158.15	CREB3L2
TNFRSF13B	66.49105	COO	ENSG00000240505	ENSG00000240505.9	TNFRSF13B
CYB5R2	67.71941	COO	ENSG00000166394	ENSG00000166394.15	CYB5R2
RAB7L1	70.45266	COO	ENSG00000117280	ENSG00000117280.13	RAB29
PIM2	71.80143	COO	ENSG00000102096	ENSG00000102096.9	PIM2
IRF4	71.91688	COO	ENSG00000137265	ENSG00000137265.15	IRF4
IL21R	-0.778158195	DHITsig	ENSG00000103522	ENSG00000103522.16	IL21R
EBI3	-0.776792921	DHITsig	ENSG00000105246	ENSG00000105246.6	EBI3
SEMA7A	-0.597132928	DHITsig	ENSG00000138623	ENSG00000138623.10	SEMA7A
CD80	-0.591988047	DHITsig	ENSG00000121594	ENSG00000121594.12	CD80
SGPP2	-0.578055021	DHITsig	ENSG00000163082	ENSG00000163082.10	SGPP2
IRF4	-0.53144132	DHITsig	ENSG00000137265	ENSG00000137265.15	IRF4
STAT3	-0.52803111	DHITsig	ENSG00000168610	ENSG00000168610.14	STAT3
BATF	-0.518200838	DHITsig	ENSG00000156127	ENSG00000156127.8	BATF
VOPP1	-0.51791333	DHITsig	ENSG00000154978	ENSG00000154978.13	VOPP1
MIR155HG	-0.515576659	DHITsig	ENSG00000234883	ENSG00000234883.6	MIR155HG
RFFL	-0.509848773	DHITsig	ENSG00000092871	ENSG00000092871.16	RFFL
VASP	-0.478206272	DHITsig	ENSG00000125753	ENSG00000125753.14	VASP
LY75	-0.465397796	DHITsig	ENSG00000054219	ENSG00000054219.11	LY75
CDK5R1	-0.450417206	DHITsig	ENSG00000176749	ENSG00000176749.9	CDK5R1
GPR137B	-0.436646932	DHITsig	ENSG00000077585	ENSG00000077585.14	GPR137B
SYBU	0.37	DHITsig	ENSG00000147642	ENSG00000147642.17	SYBU
SMIM14	0.38	DHITsig	ENSG00000163683	ENSG00000163683.12	SMIM14
AFMID	0.39	DHITsig	ENSG00000183077	ENSG00000183077.15	AFMID
CD24	0.4	DHITsig	ENSG00000272398	ENSG00000272398.6	CD24
JCHAIN	0.41	DHITsig	ENSG00000132465	ENSG00000132465.11	JCHAIN
RGCC	0.42	DHITsig	ENSG00000102760	ENSG00000102760.13	RGCC
SNHG19	0.43	DHITsig	ENSG00000260260	ENSG00000260260.1	SNHG19
QRSL1	0.43	DHITsig	ENSG00000130348	ENSG00000130348.11	QRSL1
GAMT	0.46	DHITsig	ENSG00000130005	ENSG00000130005.13	GAMT
PEG10	0.48	DHITsig	ENSG00000242265	ENSG00000242265.5	PEG10
TNFSF8	0.49	DHITsig	ENSG00000106952	ENSG00000106952.7	TNFSF8
ALOX5	0.58	DHITsig	ENSG00000012779	ENSG00000012779.11	ALOX5
SLC25A27	0.6	DHITsig	ENSG00000153291	ENSG00000153291.16	SLC25A27
MYC	0.62	DHITsig	ENSG00000136997	ENSG00000136997.19	MYC
OR13A1	0.67	DHITsig	ENSG00000256574	ENSG00000256574.8	OR13A1
CARD11	-3.12445	PMBL	ENSG00000198286	ENSG00000198286.9	CARD11
BTG2	-2.227937	PMBL	ENSG00000159388	ENSG00000159388.6	BTG2
PRKCB	-1.82928	PMBL	ENSG00000166501	ENSG00000166501.14	PRKCB
