UID	ProportionCoverage30x
02-13135T	0.957696
04-28140T	0.963693
04-35039T	0.961845
05-17793T	0.957936
05-18426T	0.955716
05-21634T	0.965303
05-22052T	0.96032
05-32150T	0.95844
07-31833T	0.954817
08-15460T	0.962574
08-19764T	0.952865
09-11467T	0.953778
09-12864T	0.958129
09-16981T	0.963689
09-21480T	0.932005
10-27154T	0.95745
11-21727T	0.958171
12-29259T	0.952383
89-62169T	0.950775
97-14402T	0.957298
99-13280T	0.959988
04-24937T	0.970156
09-31233T	0.956627
09-37629T	0.954917
10-10826T	0.968739
10-31625T	0.973309
10-40676T	0.975194
11-35935T	0.974229
13-22818T	0.963799
13-26601T	0.935966
13-30451T	0.960933
13-31210T	0.937045
14-11247T	0.956611
14-13959T	0.958571
14-16281T	0.955629
14-16707T	0.95931
14-20962T	0.966578
14-23891T	0.961801
14-25466T	0.952115
14-27873T	0.959411
14-32442T	0.957876
14-33262T	0.963609
14-33436T	0.976272
14-35026T	0.95901
14-35632T	0.968428
14-36022T	0.960944
14-37722T	0.95463
14-41461T	0.956961
15-10535T	0.963256
15-11617T	0.959717
15-13365T	0.963037
15-13383T	0.964965
15-15757T	0.964277
15-21654T	0.966771
15-24058T	0.964405
15-24306T	0.962501
15-26538T	0.962247
15-29858T	0.973019
15-31924T	0.969347
15-34472T	0.961219
15-38154T	0.967301
15-43657T	0.966659
15-43891T	0.960539
16-11636T	0.97074
16-13732T	0.972806
16-16192T	0.973669
16-16723T	0.97357
16-17861T	0.973166
16-18029T	0.951603
16-18623T	0.961525
16-23208T	0.972854
16-27413T	0.972171
16-29329T	0.966213
16-31791T	0.968386
17-12136T	0.973823
17-23504T	0.973524
17-36275T	0.972124
96-31596T	0.960653
01-20774T	0.430392
03-11110T	0.520018
05-24401T	0.447405
05-24666T	0.563319
05-32762T	0.478902
06-15922T	0.500242
06-24925T	0.338145
08-13706T	0.394054
08-33625T	0.293655
09-27193T	0.502761
09-31895T	0.306386
09-41114T	0.478256
10-15025T	0.570874
10-28165T	0.105744
10-32847T	0.526358
10-41170T	0.466496
11-14210T	0.482244
94-26795T	0.487294
02-20170T	0.097628
02-22991T	0.126767
03-10363T	0.446755
04-29264T	0.390834
05-12939T	0.543631
05-23110T	0.592327
05-24006T	0.589403
05-24395T	0.459992
05-24561T	0.031313
05-24904T	0.249328
05-25439T	0.494111
05-25674T	0.358608
05-32947T	0.260664
06-10398T	0.403626
06-11535T	0.871851
06-14634T	0.393699
06-15256T	0.36704
06-16716T	0.323903
