chr_name	hg38_start	hg38_end	gene	region	regulatory_comment
chr1	6541362	6542582	KLHL21	TSS	NA
chr1	23232600	23232851	ID3	TSS	NA
chr1	150605862	150607183	MCL1	intronic	NA
chr1	203336442	203337522	BTG2	intronic	active_promoter
chr1	226489455	226498050	ITPKB	intronic	weak_enhancer
chr1	226545161	226552483	ITPKB	TSS	active_promoter
chr1	226545686	226552580	ITPKB	intron-1	enhancer
chr2	60319519	60329216	BCL11A	TSS	active_promoter
chr2	95477414	95480426	DUSP2	intron-1	enhancer
chr2	110359700	110367020	BCL2L11	TSS	active_promoter
chr2	135359588	135360321	CXCR4	intronic	weak_promoter
chr3	16463419	16473772	RFTN1	TSS	active_promoter-strong_enhancer
chr3	31937534	31941946	OSBPL10	TSS-1	active_promoter
chr3	71006684	71021216	FOXP1	TSS-4	active_promoter
chr3	71078125	71082658	FOXP1	TSS-3	active_promoter
chr3	71252331	71259363	FOXP1	TSS-2	active_promoter
chr3	71404801	71406568	FOXP1	intron-1b	intronic
chr3	71452451	71453176	FOXP1	intron-1a	intronic
chr3	71528039	71537346	FOXP1	TSS-1	active_promoter
chr3	102108981	102110016	NFKBIZ	TSS-1	active_promoter
chr3	102130551	102131586	NFKBIZ	TSS-2	active_promoter
chr3	183833784	183838563	KLHL6	TSS	active_promoter-strong_enhancer
chr3	187304052	187305299	ST6GAL1	TSS-1	active_promoter
chr3	187346946	187348862	ST6GAL1	intronic-1	strong_enhancer
chr3	188022950	188029056	BCL6	TSS	NA
chr3	188336102	188366050	LPP	TSS-1	NA
chr3	188366051	188377992	LPP	TSS-2	NA
chr3	188377993	188519678	LPP	TSS-3	NA
chr3	188519679	188533644	LPP	TSS-4	NA
chr3	188941601	188966374	LPP	intronic-1	NA
chr3	188966375	189026302	LPP	intronic-2	NA
chr3	189026303	189039106	LPP	intronic-3	NA
chr3	189039107	189055671	LPP	intronic-4	NA
chr4	40189865	40200991	RHOH	TSS	active_promoter
chr5	89539575	89582739	MEF2C	TSS-3	active_promoter
chr5	89582740	89590609	MEF2C	TSS-2	active_promoter
chr5	89590610	89614986	MEF2C	TSS-1	active_promoter
chr5	133152549	133155074	IRF1	TSS	active_promoter
chr5	151031853	151033225	CD74	TSS	active_promoter
chr5	159646461	159678754	EBF1	TSS	active_promoter
chr6	390572	394093	IRF4	TSS	active_promoter
chr6	14117564	14119563	CD83	TSS	active_promoter-strong_enhancer
chr6	31612771	31615163	LTB	intron-1	enhancer
chr6	37202552	37204252	PIM1	TSS	active_promoter
chr6	89561596	89596696	BACH2	TSS	NA
chr6	133845684	133857583	SGK1	TSS-1	active_promoter
